,A,F,pe,ds,ec,beta,dl,du
176,60,7,0.01,0.001,0.001,0.17886458845752315,-0.9900971428571429,98.02857142857144
177,60,8,0.01,0.001,0.001,0.16016085214006867,-0.9900862500000001,98.1375
178,60,9,0.01,0.001,0.001,0.14522761906955506,-0.9900777777777778,98.22222222222223
179,60,10,0.01,0.001,0.001,0.13300755975295553,-0.990071,98.29
180,60,11,0.01,0.001,0.001,0.12280847139549554,-0.9900654545454546,98.34545454545454
181,60,12,0.01,0.001,0.001,0.11415737098405235,-0.9900608333333334,98.39166666666667
182,60,13,0.01,0.001,0.001,0.1067196090750038,-0.9900569230769231,98.43076923076923
183,60,14,0.01,0.001,0.001,0.10025146029318611,-0.9900535714285714,98.46428571428572
184,60,15,0.01,0.001,0.001,0.09457103082440788,-0.9900506666666666,98.49333333333334
185,60,16,0.01,0.001,0.001,0.08953970560835883,-0.990048125,98.51875
186,60,17,0.01,0.001,0.001,0.08504992279640719,-0.9900458823529412,98.54117647058823
187,60,18,0.01,0.001,0.001,0.08101688678323647,-0.990043888888889,98.56111111111112
188,60,19,0.01,0.001,0.001,0.07737281095866363,-0.990042105263158,98.57894736842105
189,60,20,0.01,0.001,0.001,0.07406283039930116,-0.9900405,98.595
190,63,2,0.01,0.001,0.001,0.4874255385276069,-0.99033,95.7
191,63,3,0.01,0.001,0.001,0.35509295789066603,-0.9902233333333333,96.76666666666667
192,63,4,0.01,0.001,0.001,0.2822323991904428,-0.99017,97.3
193,63,5,0.01,0.001,0.001,0.23561806868945823,-0.990138,97.61999999999999
194,63,6,0.01,0.001,0.001,0.2030250314773089,-0.9901166666666666,97.83333333333333
195,63,7,0.01,0.001,0.001,0.17885116040691812,-0.9901014285714286,97.9857142857143
196,63,8,0.01,0.001,0.001,0.16015058286504147,-0.99009,98.1
197,63,9,0.01,0.001,0.001,0.14521951217429474,-0.9900811111111111,98.1888888888889
198,63,10,0.01,0.001,0.001,0.13300099776123744,-0.990074,98.26
199,63,11,0.01,0.001,0.001,0.12280305136390472,-0.9900681818181818,98.31818181818181
200,63,12,0.01,0.001,0.001,0.1141528188218349,-0.9900633333333333,98.36666666666667
201,63,13,0.01,0.001,0.001,0.10671573187263751,-0.9900592307692307,98.40769230769232
202,63,14,0.01,0.001,0.001,0.10024811834957909,-0.9900557142857143,98.44285714285715
203,63,15,0.01,0.001,0.001,0.09456812049113016,-0.9900526666666667,98.47333333333333
204,63,16,0.01,0.001,0.001,0.0895371483676592,-0.99005,98.5
205,63,17,0.01,0.001,0.001,0.08504765808192212,-0.9900476470588235,98.52352941176471
206,63,18,0.01,0.001,0.001,0.08101486712828461,-0.9900455555555555,98.54444444444445
207,63,19,0.01,0.001,0.001,0.07737099863704523,-0.9900436842105264,98.56315789473685
208,63,20,0.01,0.001,0.001,0.07406119504917166,-0.990042,98.58
209,63,21,0.01,0.001,0.001,0.07104056079238318,-0.9900404761904762,98.59523809523809
210,66,2,0.01,0.001,0.001,0.4872569895357098,-0.990345,95.55
211,66,3,0.01,0.001,0.001,0.3550188841195923,-0.9902333333333333,96.66666666666667
212,66,4,0.01,0.001,0.001,0.2821909641469063,-0.9901775,97.225
213,66,5,0.01,0.001,0.001,0.23559163835198135,-0.990144,97.56
214,66,6,0.01,0.001,0.001,0.20300671763353853,-0.9901216666666667,97.78333333333333
215,66,7,0.01,0.001,0.001,0.1788377265412062,-0.9901057142857143,97.94285714285715
216,66,8,0.01,0.001,0.001,0.16014030970332713,-0.99009375,98.0625
217,66,9,0.01,0.001,0.001,0.14521140255418025,-0.9900844444444444,98.15555555555555
218,66,10,0.01,0.001,0.001,0.13299443378594586,-0.990077,98.22999999999999
219,66,11,0.01,0.001,0.001,0.12279762984377132,-0.9900709090909091,98.29090909090908
220,66,12,0.01,0.001,0.001,0.11414826551417925,-0.9900658333333333,98.34166666666667
221,66,13,0.01,0.001,0.001,0.10671185377009654,-0.9900615384615384,98.38461538461539
222,66,14,0.01,0.001,0.001,0.10024477568575145,-0.9900578571428571,98.42142857142858
223,66,15,0.01,0.001,0.001,0.09456520957264518,-0.9900546666666666,98.45333333333333
224,66,16,0.01,0.001,0.001,0.08953459064502209,-0.990051875,98.48125
225,66,17,0.01,0.001,0.001,0.08504539296583256,-0.9900494117647058,98.50588235294117
226,66,18,0.01,0.001,0.001,0.08101284713515483,-0.9900472222222222,98.52777777777779
227,66,19,0.01,0.001,0.001,0.07736918602799245,-0.9900452631578948,98.54736842105262
228,66,20,0.01,0.001,0.001,0.07405955945268648,-0.9900435,98.565
229,66,21,0.01,0.001,0.001,0.07103907749047413,-0.9900419047619048,98.58095238095238
230,66,22,0.01,0.001,0.001,0.06827063370952394,-0.9900404545454545,98.59545454545454
231,69,2,0.01,0.001,0.001,0.4870881784825642,-0.99036,95.39999999999999
232,69,3,0.01,0.001,0.001,0.35494473446620606,-0.9902433333333334,96.56666666666666
233,69,4,0.01,0.001,0.001,0.282149497453429,-0.990185,97.15
234,69,5,0.01,0.001,0.001,0.2355651919197075,-0.99015,97.5
235,69,6,0.01,0.001,0.001,0.20298839451771794,-0.9901266666666667,97.73333333333333
236,69,7,0.01,0.001,0.001,0.17882428685534865,-0.9901099999999999,97.9
237,69,8,0.01,0.001,0.001,0.16013003265198242,-0.9900975,98.02499999999999
238,69,9,0.01,0.001,0.001,0.14520329020737918,-0.9900877777777778,98.12222222222222
239,69,10,0.01,0.001,0.001,0.13298786782588118,-0.99008,98.2
240,69,11,0.01,0.001,0.001,0.12279220683427748,-0.9900736363636363,98.26363636363637
241,69,12,0.01,0.001,0.001,0.11414371106050886,-0.9900683333333333,98.31666666666666
242,69,13,0.01,0.001,0.001,0.1067079747669628,-0.9900638461538461,98.36153846153846
243,69,14,0.01,0.001,0.001,0.10024143230139272,-0.9900599999999999,98.4
244,69,15,0.01,0.001,0.001,0.09456229806871753,-0.9900566666666667,98.43333333333332
245,69,16,0.01,0.001,0.001,0.0895320324402658,-0.99005375,98.46249999999999
246,69,17,0.01,0.001,0.001,0.08504312744799611,-0.9900511764705883,98.48823529411764
247,69,18,0.01,0.001,0.001,0.08101082680373384,-0.9900488888888889,98.5111111111111
248,69,19,0.01,0.001,0.001,0.0773673731314141,-0.9900468421052632,98.53157894736843
249,69,20,0.01,0.001,0.001,0.07405792360977136,-0.990045,98.55000000000001
250,69,21,0.01,0.001,0.001,0.07103759397575785,-0.9900433333333334,98.56666666666666
251,69,22,0.01,0.001,0.001,0.06826928219591345,-0.9900418181818182,98.58181818181818
252,69,23,0.01,0.001,0.001,0.06572204130846411,-0.9900404347826087,98.59565217391304
253,72,2,0.01,0.001,0.001,0.4869191045519909,-0.990375,95.25
